Date,Reading,Night,A-HR,Max-HR,Min-HR,Steps
2021-08-04 00:00:00,,,,,,10
2021-08-04 00:15:00,,,,,,
2021-08-04 00:30:00,,,,,,
2021-08-04 00:45:00,,,,,,
2021-08-04 01:00:00,,,,,,
2021-08-04 01:15:00,,,,,,
2021-08-04 01:30:00,,,,,,
2021-08-04 01:45:00,,,,,,
2021-08-04 02:00:00,,,,,,
2021-08-04 02:15:00,,,57,57,57,
2021-08-04 02:30:00,,,,,,
2021-08-04 02:45:00,,,60,60,60,
2021-08-04 03:00:00,,,,,,
2021-08-04 03:15:00,,,63,63,63,
2021-08-04 03:30:00,,,,,,
2021-08-04 03:45:00,,,56,56,56,
2021-08-04 04:00:00,,,,,,
2021-08-04 04:15:00,,,,,,
2021-08-04 04:30:00,,,,,,
2021-08-04 04:45:00,,,,,,
2021-08-04 05:00:00,,,,,,
2021-08-04 05:15:00,,,,,,
2021-08-04 05:30:00,,,,,,
2021-08-04 05:45:00,,,,,,
2021-08-04 06:00:00,,,,,,
2021-08-04 06:15:00,,,,,,
2021-08-04 06:30:00,,,,,,
2021-08-04 06:45:00,,,,,,
2021-08-04 07:00:00,,,76,76,76,
2021-08-04 07:15:00,,,63.75,72,59,
2021-08-04 07:30:00,,,61.6,64,60,
2021-08-04 07:45:00,,,59.59090909,60,59,
2021-08-04 08:00:00,,,58.16666667,59,57,
2021-08-04 08:15:00,,,57.70833333,58,57,
2021-08-04 08:30:00,,,62.375,63,61,
2021-08-04 08:45:00,,,62.28571429,67,59,
2021-08-04 09:00:00,,,78.5,82,76,
2021-08-04 09:15:00,,,62.05555556,65,58,
2021-08-04 09:30:00,,,,,,
2021-08-04 09:45:00,,,,,,
2021-08-04 10:00:00,,,,,,
2021-08-04 10:15:00,,,,,,
2021-08-04 10:30:00,,,,,,
2021-08-04 10:45:00,,,,,,12
2021-08-04 11:00:00,,,94,94,94,398
2021-08-04 11:15:00,,,92,92,92,38
2021-08-04 11:30:00,,,,,,209
2021-08-04 11:45:00,,,,,,11
2021-08-04 12:00:00,,,,,,11
2021-08-04 12:15:00,,,67,67,67,11
2021-08-04 12:30:00,,,,,,11
2021-08-04 12:45:00,,,,,,11
2021-08-04 13:00:00,,,,,,11
2021-08-04 13:15:00,,,,,,11
2021-08-04 13:30:00,,,,,,11
2021-08-04 13:45:00,,,,,,11
2021-08-04 14:00:00,,,,,,11
2021-08-04 14:15:00,,,,,,11
2021-08-04 14:30:00,,,,,,11
2021-08-04 14:45:00,,,,,,11
2021-08-04 15:00:00,,,,,,11
2021-08-04 15:15:00,,,,,,11
2021-08-04 15:30:00,,,,,,11
2021-08-04 15:45:00,,,71,71,71,11
2021-08-04 16:00:00,,,,,,11
2021-08-04 16:15:00,,,,,,11
2021-08-04 16:30:00,,,,,,11
2021-08-04 16:36:30,116,40,,,,
2021-08-04 16:37:30,115,40,,,,
2021-08-04 16:38:30,113,40,,,,
2021-08-04 16:39:30,114,40,,,,
2021-08-04 16:40:30,113,40,,,,
2021-08-04 16:41:30,113,40,,,,
2021-08-04 16:42:30,112,40,,,,
2021-08-04 16:43:30,112,40,,,,
2021-08-04 16:44:30,111,40,,,,
2021-08-04 16:45:00,,,75,76,74,11
2021-08-04 16:45:30,111,40,,,,
2021-08-04 16:46:30,110,40,,,,
2021-08-04 16:47:30,109,40,,,,
2021-08-04 16:48:30,109,40,,,,
2021-08-04 16:49:30,116,40,,,,
2021-08-04 16:50:30,109,40,,,,
2021-08-04 16:51:30,109,40,,,,
2021-08-04 16:58:30,107,40,,,,
2021-08-04 16:59:30,107,40,,,,
2021-08-04 17:00:00,,,,,,11
2021-08-04 17:00:30,107,40,,,,
2021-08-04 17:01:30,107,40,,,,
2021-08-04 17:02:30,107,40,,,,
2021-08-04 17:03:30,106,40,,,,
2021-08-04 17:04:30,106,40,,,,
2021-08-04 17:05:30,106,40,,,,
2021-08-04 17:06:30,106,40,,,,
2021-08-04 17:07:30,106,40,,,,
2021-08-04 17:08:30,106,40,,,,
2021-08-04 17:09:30,106,40,,,,
2021-08-04 17:10:30,106,40,,,,
2021-08-04 17:11:30,106,40,,,,
2021-08-04 17:12:30,107,40,,,,
2021-08-04 17:13:30,106,40,,,,
2021-08-04 17:14:30,106,40,,,,
2021-08-04 17:15:00,,,,,,11
2021-08-04 17:15:30,106,40,,,,
2021-08-04 17:16:30,106,40,,,,
2021-08-04 17:17:30,106,40,,,,
2021-08-04 17:18:30,106,40,,,,
2021-08-04 17:19:30,107,40,,,,
2021-08-04 17:20:30,106,40,,,,
2021-08-04 17:21:30,106,40,,,,
2021-08-04 17:22:30,106,40,,,,
2021-08-04 17:23:30,106,40,,,,
2021-08-04 17:24:30,106,40,,,,
2021-08-04 17:25:30,104,40,,,,
2021-08-04 17:26:30,105,40,,,,
2021-08-04 17:27:30,103,40,,,,
2021-08-04 17:30:00,,,,,,11
2021-08-04 17:35:30,102,40,,,,
2021-08-04 17:38:30,101,40,,,,
2021-08-04 17:39:30,101,40,,,,
2021-08-04 17:40:30,102,40,,,,
2021-08-04 17:41:30,100,40,,,,
2021-08-04 17:42:30,100,40,,,,
2021-08-04 17:43:30,100,40,,,,
2021-08-04 17:44:30,100,40,,,,
2021-08-04 17:45:00,,,61,61,61,11
2021-08-04 17:45:30,100,40,,,,
2021-08-04 17:46:30,100,40,,,,
2021-08-04 17:47:30,100,40,,,,
2021-08-04 17:48:30,100,40,,,,
2021-08-04 17:49:30,100,40,,,,
2021-08-04 17:50:30,100,40,,,,
2021-08-04 17:51:30,101,40,,,,
2021-08-04 17:52:30,100,40,,,,
